cid,lid,itemid_new
220228,51222,520256
226062,50818,525932
220235,50818,529121
220224,50821,522666
226063,50821,521800
220227,50817,520291
223830,50820,524860
220274,50820,522455
220545,51221,520984
226540,50810,525981
220546,51301,528562
220580,50866,522114
220581,50867,525579
220587,50878,523933
220602,50902,523196
220603,50907,525966
220615,50912,524619
220621,50931,527219
220624,50904,524653
220632,50954,525736
220635,50960,525138
220644,50861,520320
220645,50983,520729
220650,50976,525623
220734,51491,526726
223679,50804,523779
224828,50802,525067
225612,50863,525620
225624,51006,522268
225625,50893,521088
225628,50908,524447
225634,50910,522870
225636,50915,522688
225636,51196,528519
225637,51143,527437
225638,51144,526124
225639,51146,525227
225640,51200,525472
225641,51244,526676
225642,51254,526784
225643,51256,522617
225651,50883,527958
225667,50808,523311
225668,50813,526851
225671,50905,520941
225672,50956,528286
225674,50817,520338
225677,50970,528418
225684,50964,520062
225690,50885,525942
225692,51218,524706
225693,51000,527249
225695,51007,526150
225698,50804,527885
226504,50968,526723
226534,50824,522034
226536,50806,524013
226537,50809,520900
226540,50810,525645
226541,50817,526930
227073,50868,526399
227429,51003,524822
227440,50917,528086
227441,50906,522406
227442,50971,522182
227443,50882,529674
227444,50889,520947
227445,50911,523376
227446,50963,526172
227447,50929,527214
227448,50929,521320
227449,50929,525072
227450,50997,526635
227451,50997,528107
227452,50997,521841
227453,51009,520521
227454,51009,526769
227455,51009,520082
227456,50862,526346
227457,51265,521503
227458,50972,521657
227459,50962,525304
227460,50966,523034
227461,50967,528213
227462,50986,524800
227463,50909,522029
227464,50822,527226
227465,51274,520654
227466,51275,524588
227467,51237,523678
227468,51214,521612
227469,51297,529493
227470,51288,529135
227471,51498,527479
227516,50821,520885
227686,50817,523426
